Музеи,
НжМЗ, НгИАМЗ,Нижегородский историко-архитектурный музей-заповедник, НжХМ,Нижегородский государственный художественный музей,
НТГМИИ,Нижне-Тагильский государственный музей изобразительных искусств,
НТМЗ,Нижне-Тагильский музей-заповедник горного дела,
ОАМ,Отдел искусства и культуры античного мира,
ОИЗЕИ,Отдел истории западноевропейского искусства,
ОИПК,Отдел истории первобытной культуры,
ОИРК,Отдел истории русской культуры,
ОКГ,Орловская картиная галерея,
ООКМ,Орловский областной краеведческий музей,
ООМИИ,Омский областной музей изобразительных искусств имени М.А. Врубеля,
ОН,Отдел нумизматики,
ОР,Отдел рукописей,
ПГОМЗ, ПМЗ, ПГОИАХМЗ, ПИАМ,Псковский государственный объединённый историко-архитектурный и художественный музей-заповедник, Псковский музей-заповедник,
ПГХГ, ПХГ,Пермская государственная художественная галерея, ПермГХГ,Пермская государственная художественная картинная галерея,
ПЗИХМ,Переславль-Залесский историко-художественный музей, ПЗИАХМЗ,Переславль-Залесский историко-архитектурный и художественный музей-заповедник,
ПОКМ,Пермский областной краеведческий музей,
РИАМЗ,Рязанский историко-архитектурный музей-заповедник,
РМЗ,Рыбинский историко-архитектурный и художественный музей-заповедник,
РМЦД,Ростовский музей церковных древностей,
РОМК,Ростовский областной музей краеведения.,
РХМ,Рязанский областной художественный музей,
СГОМЗ,Смоленский государственный объединенный исторический и архитектурно-художественный музей-заповедник,
СГХМ,Саратовский государственный художественный музей имени А.Н. Радищева,
СИХМ,Серпуховский историко-художественный музей,
СИХМ,Сольвычегодский историко-художественный музей,
СККМ,Соликамский краеведческий музей,
СКМ,Смоленский краеведческий музей,
СМИИ,Смоленский областной музей изобразительных и прикладных искусств,
СОИКМ,Самарский областной историко-краеведческий музей им. П. В. Алабина,
СОХМ,Самарский областной художественный музей,
СПМЗ, СПИХМЗ, СПГИХМЗ,Сергиево-Посадский государственный историко-художественный музей-заповедник,
СХМ,Севастопольский художественный музей имени М.П. Крошицкого,
ТГОМ,Тверской государственный объединённый музей,
ТГХМ,Таганрогский художественный музей,
ТЛИАМЗ,Таганрогский литературный и историко-архитектурный музей-заповедник,
ТлОКМ,Тульский областной краеведческий музей,
ТмОКМ,Тамбовский областной краеведческий музей,
ТМИИ,Тюменский музей изобразительных искусств,
ТМИИ,Тульский музей изобразительных искусств,
ТКМ,Тотемский краеведческий музей,
ТМЗ,Тобольский государственный историко-архитектурный музей-заповедник,
ТОКГ,Тверская областная картинная галерея,
ТСЛ,Свято-Троицкая Сергиева Лавра,
ТХМ,Тамбовский художественный музей,
УКМ,Устюженский краеведческий музей,
УМЗ,Угличский историко-художественный музей-заповедник; УИХМ,Угличский историко-художественный музей (другое название этого же музея).,
УОХМ,Ульяновский областной художественный музей,
ХИМ,Харьковский исторический музей,
ХМРБ,Художественный музей им. М. Ф. Нестерова Республики Башкортостан,
ЦАК МДА,Церковно-археологический кабинет Московской духовной академии,
ЦВММ,Центральный военно-морской музей (г. Петербург),
ЦМЛ,Центральный музей В. И. Ленина, расформирован,
ЦТМ,Центральный театральный музей имени А. А. Бахрушина (Москва),
ЧерМО,Череповецкое музейное объединение,
ЯКМ,Яренский краеведческий музей,
ЯХМ,Ярославский художественный музей,
